Location,Line,Mast type,Loc / Load Type,FY19-20,FY20-21,FY21-22,FY22-23,,,,,,,,,,
236/08,Single M/L,TTC,DC,06-12-2019,16-07-2020,05-05-2021,,,,,,,,,,,
236/09,Single M/L,PORTAL,SC,27-10-2019,16-07-2020,,overdue,,,,,,,,,,
236/11,Single M/L,PORTAL,SC,25-12-2019,,,overdue,,,,,,,,,,
236/13,Single M/L,PORTAL,SC,25-12-2019,,,overdue,,,,,,,,,,
236/15,Single M/L,PORTAL,SC,25-12-2019,,,overdue,,,,,,,,,,
236/17,Single M/L,PORTAL,SC,25-12-2019,,,overdue,,,,,,,,,,
236/19,Single M/L,PORTAL,SC,25-12-2019,,,overdue,,,,,,,,,,
236/21,Single M/L,PORTAL,SC,25-12-2019,,,overdue,,,,,,,,,,
236/23,Single M/L,PORTAL,SC,25-12-2019,,,overdue,,,,,,,,,,
236/25,Single M/L,PORTAL,SC,25-12-2019,,,overdue,,,,,,,,,,
236/08,MNO YARD L-1,TTC,SC,06-12-2019,,05-04-2021,,,,,,,,,,,
236/09,MNO YARD L-1,PORTAL,SC,,16-07-2020,06-09-2021,,,,,,,,,,,
236/11,MNO YARD L-1,PORTAL,SC,26-10-2019,,06-09-2021,,,,,,,,,,,
236/13,MNO YARD L-1,PORTAL,SC,26-10-2019,,06-09-2021,,,,,,,,,,,
236/15,MNO YARD L-1,PORTAL,SC,26-10-2019,,06-09-2021,,,,,,,,,,,
236/17,MNO YARD L-1,PORTAL,SC,26-10-2019,,06-09-2021,,,,,,,,,,,
236/19,MNO YARD L-1,PORTAL,SC,26-10-2019,,06-09-2021,,,,,,,,,,,
236/21,MNO YARD L-1,PORTAL,SC,26-10-2019,,06-09-2021,,,,,,,,,,,
236/23,MNO YARD L-1,PORTAL,SC,26-10-2019,,06-09-2021,,,,,,,,,,,
236/25,MNO YARD L-1,PORTAL,SC,26-10-2019,,06-09-2021,,,,,,,,,,,
236/08,MNO YARD L-1,PORTAL,SC,27-12-2019,,05-04-2021,,,,,,,,,,,
236/09,MNO YARD L-1,PORTAL,SC,27-12-2019,,05-04-2021,,,,,,,,,,,
236/11,MNO YARD L-1,PORTAL,SC,27-12-2019,,06-09-2021,,,,,,,,,,,
236/13,MNO YARD L-1,PORTAL,SC,27-12-2019,,06-09-2021,,,,,,,,,,,
236/15,MNO YARD L-1,PORTAL,SC,27-12-2019,,06-09-2021,,,,,,,,,,,
236/17,MNO YARD L-1,PORTAL,SC,27-12-2019,,06-09-2021,,,,,,,,,,,
236/19,MNO YARD L-1,PORTAL,SC,27-12-2019,,06-09-2021,,,,,,,,,,,
236/21,MNO YARD L-1,PORTAL,SC,27-12-2019,,06-09-2021,,,,,,,,,,,
236/23,MNO YARD L-1,PORTAL,SC,27-12-2019,,06-09-2021,,,,,,,,,,,
236/25,MNO YARD L-1,PORTAL,SC,27-12-2019,,06-09-2021,,,,,,,,,,,
237/01,MNO YARD L-1,PORTAL,SC,26-10-2019,,06-09-2021,,,,,,,,,,,
237/03,MNO YARD L-1,PORTAL,SC,26-10-2019,,06-09-2021,,,,,,,,,,,
237/05,MNO YARD L-1,PORTAL,SC,26-10-2019,,06-09-2021,,,,,,,,,,,
237/07,MNO YARD L-1,PORTAL,SC/DC/TC,25-11-2019,17-10-2020,05-04-2021,,,,,,,,,,,
236/10,MNO YARD L-3,PORTAL,SC,06-12-2019,,05-05-2021,,,,,,,,,,,
236/12,MNO YARD L-3,PORTAL,SC,03-08-2019,,06-09-2021,,,,,,,,,,,
236/14,MNO YARD L-3,PORTAL,SC,03-08-2019,,06-09-2021,,,,,,,,,,,
236/16,MNO YARD L-3,PORTAL,SC,03-08-2019,,06-09-2021,,,,,,,,,,,
236/18,MNO YARD L-3,PORTAL,SC,03-08-2019,,06-09-2021,,,,,,,,,,,
236/20,MNO YARD L-3,PORTAL,SC,03-08-2019,,06-09-2021,,,,,,,,,,,
236/22,MNO YARD L-3,PORTAL,SC,03-08-2019,,06-09-2021,,,,,,,,,,,
236/24,MNO YARD L-3,PORTAL,SC,03-08-2019,,06-09-2021,,,,,,,,,,,
236/26,MNO YARD L-3,PORTAL,SC,03-08-2019,,06-09-2021,,,,,,,,,,,
237/02,MNO YARD L-3,PORTAL,SC,03-08-2019,,06-09-2021,,,,,,,,,,,
237/04,MNO YARD L-3,PORTAL,DC,03-08-2019,,06-09-2021,,,,,,,,,,,
237/06,MNO YARD L-3,PORTAL,SC,03-08-2019,,06-09-2021,,,,,,,,,,,
237/08,MNO YARD L-3,PORTAL,SC,23-01-2020,,06-09-2021,,,,,,,,,,,
237/09,MNO YARD L-3,TTC,SC,05-12-2019,17-10-2020,04-04-2021,,,,,,,,,,,
MNO/1023,,,,,,,12-07-2022,,,,,,,,,,
MNO/1029,,,,,,,12-07-2022,,,,,,,,,,
237/01,Single M/L,PORTAL,SC,25-12-2019,,29-12-2021,,,,,,,,,,,
237/03,Single M/L,PORTAL,SC,25-12-2019,,29-12-2021,,,,,,,,,,,
237/05,Single M/L,PORTAL,SC,25-11-2019,,29-12-2021,,,,,,,,,,,
237/07,Single M/L,PORTAL,DC,25-11-2019,17-10-2020,29-12-2021,,,,,,,,,,,
237/09,Single M/L,TTC,TC,05-12-2019,17-10-2020,05-04-2021,overdue,,,,,,,,,,
237/10,Single M/L,B-200,TC,05-12-2019,17-10-2020,04-04-2021,overdue,,,,,,,,,,
237/11,Single M/L,B-200,DC,,17-10-2020,04-04-2021,overdue,,,,,,,,,,
237/12,Single M/L,RSJ,SC,,17-07-2020,,,,,,,,,,,,
237/12A,Single M/L,TTC,SC,,17-07-2020,,,,,,,,,,,,
237/13,Single M/L,RSJ,SC,,17-07-2020,,,,,,,,,,,,
237/14,Single M/L,B-150,DC,21-12-2019,17-07-2020,29-12-2021,,,,,,,,,,,
237/15,Single M/L,B-150,DC,21-12-2019,17-07-2020,29-12-2021,,,,,,,,,,,
237/16,Single M/L,RSJ,SC,26-10-2019,17-07-2020,,,,,,,,,,,,
237/17,Single M/L,BFB,SC,26-10-2019,07-08-2020,,12-07-2022,,,,,,,,,,
237/18,Single M/L,BFB,SC,26-10-2019,21-05-2020,,overdue,,,,,,,,,,
237/19,Single M/L,BFB,SC,26-10-2019,21-05-2020,,overdue,,,,,,,,,,
237/20,Single M/L,BFB,SC,26-10-2019,21-05-2020,,overdue,,,,,,,,,,
238/01,Single M/L,BFB,SC,,28-07-2020,,overdue,,,,,,,,,,
238/02,Single M/L,BFB,SC,,28-07-2020,,overdue,,,,,,,,,,
238/03,Single M/L,RSJ,SC,,28-07-2020,,overdue,,,,,,,,,,
238/04,Single M/L,BFB,SC,,28-07-2020,,overdue,,,,,,,,,,
238/05,Single M/L,RSJ,SC,,28-07-2020,,overdue,,,,,,,,,,
238/06,Single M/L,BFB,SC,,28-07-2020,,overdue,,,,,,,,,,
238/07,Single M/L,BFB,SC,,28-07-2020,,overdue,,,,,,,,,,
238/08,Single M/L,BFB,SC,,28-07-2020,,overdue,,,,,,,,,,
238/09,Single M/L,BFB,SC,,28-07-2020,,overdue,,,,,,,,,,
238/10,Single M/L,BFB,SC,,28-07-2020,,overdue,,,,,,,,,,
238/11,Single M/L,BFB,SC,,23-10-2020,,,,,,,,,,,,
238/12,Single M/L,RSJ,SC,,23-10-2020,,,,,,,,,,,,
238/13,Single M/L,B-150,DC,08-01-2020,23-10-2020,29-12-2021,,,,,,,,,,,
238/14,Single M/L,B-150,DC,08-01-2020,23-10-2020,29-12-2021,,,,,,,,,,,
238/15,Single M/L,RSJ,DC,21-12-2019,23-10-2020,29-12-2021,,,,,,,,,,,
238/16,Single M/L,BFB,SC,08-01-2020,,16-11-2021,,,,,,,,,,,
238/17,Single M/L,BFB,SC,08-01-2020,,16-11-2021,,,,,,,,,,,
238/18,Single M/L,BFB,SC,08-01-2020,,16-11-2021,,,,,,,,,,,
239/01,Single M/L,BFB,SC,,17-07-2020,,,,,,,,,,,,
239/02,Single M/L,BFB,SC,,17-07-2020,,,,,,,,,,,,
239/03,Single M/L,BFB,SC,03-08-2019,,16-10-2021,,,,,,,,,,,
239/04,Single M/L,RSJ,SC,03-08-2019,,16-10-2021,,,,,,,,,,,
239/05,Single M/L,BFB,SC,03-08-2019,,16-10-2021,,,,,,,,,,,
239/06,Single M/L,RSJ,SC,03-08-2019,,16-10-2021,,,,,,,,,,,
239/07,Single M/L,BFB,SC,03-08-2019,,16-10-2021,,,,,,,,,,,
239/08,Single M/L,BFB,SC,,17-07-2020,,,,,,,,,,,,
239/09,Single M/L,BFB,SC,,17-07-2020,,,,,,,,,,,,
239/10,Single M/L,BFB,SC,16-01-2020,,,overdue,,,,,,,,,,
239/11,Single M/L,BFB,SC,16-01-2020,,,overdue,,,,,,,,,,
239/12,Single M/L,RSJ,SC,16-01-2020,,,overdue,,,,,,,,,,
239/13,Single M/L,B-150,DC,16-01-2020,23-10-2020,29-12-2021,,,,,,,,,,,
240/01,Single M/L,B-150,DC,16-01-2020,23-10-2020,29-12-2021,,,,,,,,,,,
240/02,Single M/L,RSJ,SC,16-01-2020,,,overdue,,,,,,,,,,
240/03,Single M/L,BFB,SC,16-01-2020,,,overdue,,,,,,,,,,
